Date,EUR,INR,GBP,JPY,AUD,EUR_lag1,EUR_lag2,EUR_lag3,EUR_lag7,EUR_lag14,EUR_MA7,EUR_MA14,EUR_return1,EUR_return7,EUR_momentum7,EUR_volatility7,INR_lag1,INR_lag2,INR_lag3,INR_lag7,INR_lag14,INR_MA7,INR_MA14,INR_return1,INR_return7,INR_momentum7,INR_volatility7,GBP_lag1,GBP_lag2,GBP_lag3,GBP_lag7,GBP_lag14,GBP_MA7,GBP_MA14,GBP_return1,GBP_return7,GBP_momentum7,GBP_volatility7,JPY_lag1,JPY_lag2,JPY_lag3,JPY_lag7,JPY_lag14,JPY_MA7,JPY_MA14,JPY_return1,JPY_return7,JPY_momentum7,JPY_volatility7,AUD_lag1,AUD_lag2,AUD_lag3,AUD_lag7,AUD_lag14,AUD_MA7,AUD_MA14,AUD_return1,AUD_return7,AUD_momentum7,AUD_volatility7,day_of_week,month,year
2018-01-19,0.81599,63.843,0.72105,110.6,1.2486,0.81733,0.81947,0.81766,0.83389,0.83382,0.8227085714285715,0.8275507142857144,-0.0026114439820860147,-0.024758972890416286,-0.020750000000000046,0.0056979222109815805,63.85,63.928,64.047,63.595,63.876,63.74657142857143,63.649071428571425,-0.0012201226379676688,0.002150267606296996,0.13700000000000045,0.0037206870170631394,0.72095,0.72579,0.72657,0.73941,0.73979,0.7303414285714285,0.7343835714285715,-0.0066685955992781265,-0.02545351320662903,-0.018830000000000013,0.005709836880772527,111.21,110.8,110.71,111.42,112.57,111.08,111.865,0.0037003610108303775,-0.011993603411513898,-1.3500000000000085,0.004942322235266031,1.2514,1.2549,1.2575,1.2749,1.2796,1.2625142857142857,1.26975,-0.0027890668579168,-0.020353843745107292,-0.026000000000000023,0.0034214161110022435,4,1,2018
2018-01-22,0.81706,63.912,0.71971,110.84,1.249,0.81599,0.81733,0.81947,0.83215,0.82884,0.8201514285714285,0.8262771428571429,-0.0016394846634774085,-0.021465660938493114,-0.017900000000000027,0.005698082972212184,63.843,63.85,63.928,63.688,63.489,63.782,63.64671428571428,-0.0001096319498824494,0.0038996776476138972,0.24800000000000466,0.0036083047539662567,0.72105,0.72095,0.72579,0.74124,0.73728,0.7277185714285714,0.7330450000000001,0.00013870587419373415,-0.02483060818760907,-0.018360000000000043,0.005773557432006714,110.6,111.21,110.8,111.67,112.18,110.96285714285715,111.72428571428573,-0.005485118244762166,-0.00735954047747267,-0.8200000000000074,0.003805390864400308,1.2486,1.2514,1.2549,1.2716,1.2775,1.258757142857143,1.2675357142857144,-0.0022374940067125815,-0.020629068946584006,-0.02629999999999999,0.003409771848549838,0,1,2018
2018-01-23,0.81639,63.775,0.71704,110.5,1.2544,0.81706,0.81599,0.81733,0.82393,0.83174,0.8179957142857143,0.8254357142857142,0.0013112905795413798,-0.01813374992489325,-0.015089999999999937,0.005936663452856388,63.912,63.843,63.85,63.601,63.5,63.814,63.67692857142857,0.001080776279310136,0.003517146087175016,0.22399999999999665,0.003595288859509038,0.71971,0.72105,0.72095,0.73315,0.73725,0.7246428571428571,0.73179,-0.001858400943069105,-0.029045923047865796,-0.02153000000000005,0.005223327553189969,110.84,110.6,111.21,111.13,112.26,110.8442857142857,111.62857142857142,0.0021699819168174983,-0.0074326139518222645,-0.8299999999999983,0.003794839864978653,1.249,1.2486,1.2514,1.2702,1.2758,1.2555285714285715,1.2655,0.00032035880185832255,-0.017772884554891455,-0.022599999999999953,0.0036336856084024163,1,1,2018
2018-01-24,0.80959,63.693,0.70582,109.4,1.2395,0.81639,0.81706,0.81599,0.81453,0.82884,0.8169185714285714,0.8243392857142856,-0.0008200132181236386,-0.009151262849999564,-0.007540000000000102,0.004997731903290238,63.775,63.912,63.843,63.517,63.405,63.838857142857144,63.696571428571424,-0.002143572412066641,0.0027358060407856044,0.1739999999999995,0.0036739589726200454,0.71704,0.71971,0.72105,0.72528,0.73852,0.7223414285714285,0.7303464285714286,-0.003709827569437607,-0.021973675236991008,-0.016109999999999958,0.004307059543082832,110.5,110.84,110.6,110.62,112.66,110.75428571428571,111.50285714285714,-0.0030674846625766694,-0.005669036263835081,-0.6299999999999955,0.0035526752940711467,1.2544,1.249,1.2486,1.2571,1.2763,1.2532714285714286,1.2639714285714287,0.004323458767013566,-0.012438985986458873,-0.015800000000000036,0.004475752397415762,2,1,2018
2018-01-25,0.806,63.565,0.70152,108.91,1.2378,0.80959,0.81639,0.81706,0.81766,0.83022,0.8162128571428572,0.8229642857142857,-0.008329352392851375,-0.0060648472125028885,-0.0049399999999999444,0.003994686764669379,63.693,63.775,63.912,64.047,63.37,63.864,63.71714285714285,-0.00128577028616228,0.002770911724420122,0.17599999999999483,0.003671258619998994,0.70582,0.71704,0.71971,0.72657,0.73792,0.7195614285714286,0.7280107142857143,-0.015647662612964464,-0.02683101698654322,-0.019460000000000033,0.005865352868908136,109.4,110.5,110.84,110.71,113.28,110.58000000000001,111.27,-0.009954751131221684,-0.011028747062014066,-1.2199999999999989,0.004847657180185628,1.2395,1.2544,1.249,1.2575,1.2753,1.250757142857143,1.261342857142857,-0.011878188775510168,-0.014000477288998558,-0.01760000000000006,0.004983412654809034,3,1,2018
2018-01-26,0.80412,63.61,0.70228,109.32,1.2367,0.806,0.80959,0.81639,0.81947,0.83521,0.8145471428571429,0.8212342857142857,-0.004434343309576483,-0.0142602059535748,-0.011660000000000004,0.003572781054718991,63.565,63.693,63.775,63.928,63.508,63.79514285714286,63.73107142857143,-0.0020096399918357877,-0.007525723296953779,-0.4819999999999993,0.0011742538834702333,0.70152,0.70582,0.71704,0.72579,0.73844,0.7159828571428573,0.7254107142857144,-0.006092204811424917,-0.034477063462570734,-0.025050000000000017,0.005333952885678832,108.91,109.4,110.5,110.8,113.04,110.32285714285715,110.95785714285714,-0.004478976234003729,-0.016258693884924513,-1.7999999999999972,0.004826087203991379,1.2378,1.2395,1.2544,1.2549,1.277,1.247942857142857,1.2586642857142858,-0.0013715207745058633,-0.01566600397614315,-0.01970000000000005,0.004892417844286235,4,1,2018
2018-01-29,0.80782,63.58,0.7104,108.85,1.2361,0.80412,0.806,0.80959,0.81733,0.83808,0.8123542857142857,0.8190135714285713,-0.0023325062034740274,-0.018731619217299045,-0.015350000000000086,0.0030438370989480947,63.61,63.565,63.693,63.85,63.713,63.74971428571429,63.73835714285714,0.0007079367576496853,-0.004974346139406838,-0.31799999999999784,0.0012854170703828507,0.70228,0.70152,0.70582,0.72095,0.73978,0.7126242857142858,0.7228278571428571,0.0010833618428554015,-0.03239228978079067,-0.02351000000000003,0.005650624976738122,109.32,108.91,109.4,111.21,112.56,110.11142857142856,110.69214285714285,0.003764576255623986,-0.01335740072202174,-1.480000000000004,0.005256140382014355,1.2367,1.2378,1.2395,1.2514,1.2774,1.245342857142857,1.2557857142857143,-0.0008886734529003348,-0.014503147661168225,-0.018199999999999994,0.004919672683629432,0,1,2018
2018-01-30,0.80509,63.648,0.70791,108.67,1.2354,0.80782,0.80412,0.806,0.81599,0.83389,0.8109957142857143,0.8168521428571428,0.004601303288066516,-0.01163544712661968,-0.009510000000000018,0.00411031052578031,63.58,63.61,63.565,63.843,63.595,63.71114285714286,63.72885714285714,-0.0004716239584970916,-0.004228660924040728,-0.2700000000000031,0.0012670496108955415,0.7104,0.70228,0.70152,0.72105,0.73941,0.7111171428571429,0.7207292857142857,0.011562339807484223,-0.014633469727442838,-0.010549999999999948,0.008204952378923784,108.85,109.32,108.91,110.6,111.42,109.77428571428571,110.42714285714285,-0.0042993047932674555,-0.021221113209243803,-2.3599999999999994,0.0046707438896689555,1.2361,1.2367,1.2378,1.2486,1.2749,1.2431571428571428,1.2528357142857143,-0.0004851621250100413,-0.012226306536679,-0.015300000000000091,0.004940916523404041,1,1,2018
2018-01-31,0.80276,63.563,0.70571,108.85,1.2328,0.80509,0.80782,0.80412,0.81706,0.83215,0.8094385714285715,0.8147949999999999,-0.0033794657225619806,-0.013358006838319114,-0.01090000000000002,0.00416093069546264,63.648,63.58,63.61,63.912,63.688,63.68328571428572,63.73264285714286,0.0010695187165776776,-0.0030543677458766405,-0.19500000000000028,0.0014137015918554016,0.70791,0.7104,0.70228,0.71971,0.74124,0.7092400000000001,0.7184792857142857,-0.0035050675675675214,-0.01822342417308087,-0.01313999999999993,0.00815655870904366,108.67,108.85,109.32,110.84,111.67,109.49857142857142,110.23071428571428,-0.0016536518144234513,-0.01745027124773957,-1.9299999999999926,0.004561050592116687,1.2354,1.2361,1.2367,1.249,1.2716,1.2412714285714286,1.2500142857142857,-0.0005662972251435638,-0.01057184046131654,-0.013199999999999878,0.004953530755431917,2,1,2018
2018-02-01,0.80263,64.023,0.70246,109.66,1.2495,0.80276,0.80509,0.80782,0.81639,0.82393,0.8073957142857143,0.8126957142857144,-0.0028940863754362,-0.01750177465547198,-0.01429999999999998,0.003914281491218668,63.563,63.648,63.58,63.775,63.601,63.633428571428574,63.72371428571428,-0.0013354700854700807,-0.005460633370884871,-0.34899999999999665,0.0012692159832865283,0.70571,0.70791,0.7104,0.71704,0.73315,0.70724,0.7159414285714286,-0.0031077396844232386,-0.019452279390310023,-0.014000000000000012,0.008151412625069897,108.85,108.67,108.85,110.5,111.13,109.21428571428571,110.0292857142857,0.0016563909082543127,-0.017953807289787127,-1.990000000000009,0.004476706181457685,1.2328,1.2354,1.2361,1.2544,1.2702,1.2389571428571426,1.2472428571428573,-0.0021045815120609435,-0.012970376301041031,-0.016200000000000214,0.004888842374212505,3,2,2018
